# x [m]   rho [kg/m^3]   velocity [m/s]   pressure [Pa]   accel [m/s^2]   energy [J/kg]   du_dt [J/(kg·s)]   h [m]
0.925414 0.314160 -0.899110 24486.703195 -0.579387 116885.839997 -0.448988 0.007508
0.925524 0.316044 -0.899286 24210.022465 -0.615710 114875.362077 -0.455766 0.007451
0.925669 0.318613 -0.903331 23838.731311 0.064795 112188.739290 -0.642850 0.007396
0.925921 0.323230 -0.897624 23759.147640 -0.535507 110233.103783 -0.387200 0.007433
0.926042 0.325293 -0.901221 23277.056012 -0.548523 107301.202235 -0.535189 0.007240
0.926324 0.330452 -0.899895 23175.181569 -0.612269 105166.580238 -0.478021 0.007240
0.926649 0.336347 -0.898581 23053.672500 -0.547978 102784.263744 -0.425419 0.007240
0.926945 0.341681 -0.898968 22863.234428 -0.581842 100342.667516 -0.437267 0.007150
0.927376 0.349187 -0.895120 22814.130561 -0.300904 97982.814283 -0.304603 0.007186
0.927839 0.357134 -0.894746 22852.488971 -0.228743 95963.767173 -0.293237 0.007114
0.928473 0.367583 -0.894178 23035.659707 -0.131392 93984.047869 -0.273468 0.007008
0.929189 0.378657 -0.892002 23242.475979 0.067525 92058.475207 -0.209988 0.006878
0.929971 0.389365 -0.889399 23526.389734 0.225054 90625.888231 -0.120591 0.006878
0.930722 0.398563 -0.884472 23601.155055 -0.358109 88824.732768 0.021133 0.006878
0.931422 0.406233 -0.886209 23729.538125 0.265788 87622.098522 0.024314 0.006861
0.931392 0.405894 -0.885239 23287.085665 0.309574 86060.936318 0.037979 0.006878
0.932184 0.413736 -0.887089 23811.469422 0.182840 86333.018206 0.068152 0.006725
0.932406 0.415694 -0.888751 24085.172618 0.226593 86913.876271 0.066855 0.006708
0.932569 0.417193 -0.890161 24408.089876 0.135873 87762.563778 0.066997 0.006625
0.932527 0.416819 -0.889073 23975.133136 0.153424 86283.886765 0.074667 0.006641
0.932796 0.419188 -0.892951 25127.454784 0.205050 89918.673645 0.061703 0.006518
0.932914 0.420096 -0.892991 25508.225631 0.064952 91085.049247 0.076817 0.006518
0.933074 0.421423 -0.893841 25852.908941 0.030162 92025.805749 0.089916 0.006437
